type          ,name                                                              ,iso_country,municipality                               ,iata_code
small_airport ,Utirik Airport                                                    ,MH         ,Utirik Island                              ,UTK
small_airport ,Ocean Reef Club Airport                                           ,US         ,Key Largo                                  ,OCA
small_airport ,Pilot Station Airport                                             ,US         ,Pilot Station                              ,PQS
small_airport ,Crested Butte Airpark                                             ,US         ,Crested Butte                              ,CSE
small_airport ,LBJ Ranch Airport                                                 ,US         ,Johnson City                               ,JCY
small_airport ,Metropolitan Airport                                              ,US         ,Palmer                                     ,PMX
small_airport ,Nunapitchuk Airport                                               ,US         ,Nunapitchuk                                ,NUP
small_airport ,Icy Bay Airport                                                   ,US         ,Icy Bay                                    ,ICY
small_airport ,Kalakaket Creek AS Airport                                        ,US         ,Kalakaket Creek                            ,KKK
small_airport ,Dunsmuir Muni-Mott Airport                                        ,US         ,Dunsmuir                                   ,MHS
small_airport ,Chase Field Industrial Airport                                    ,US         ,Beeville                                   ,NIR
small_airport ,Grand Canyon Bar Ten Airstrip                                     ,US         ,Whitmore                                   ,GCT
small_airport ,Lime Village Airport                                              ,US         ,Lime Village                               ,LVD
small_airport ,Hog River Airport                                                 ,US         ,Hogatza                                    ,HGZ
small_airport ,Ed-Air Airport                                                    ,US         ,Oaktown                                    ,OTN
small_airport ,Telida Airport                                                    ,US         ,Telida                                     ,TLF
small_airport ,Eagle Air Park                                                    ,US         ,Brazoria                                   ,BZT
small_airport ,Blakely Island Airport                                            ,US         ,Blakely Island                             ,BYW
small_airport ,Drift River Airport                                               ,US         ,Kenai                                      ,DRF
small_airport ,Rinkenberger Restricted Landing Area                              ,US         ,Bradford                                   ,BDF
small_airport ,Roy Otten Memorial Airfield                                       ,US         ,Versailles                                 ,VRS
small_airport ,Atmautluak Airport                                                ,US         ,Atmautluak                                 ,ATT
small_airport ,Livengood Camp Airport                                            ,US         ,Livengood                                  ,LIV
small_airport ,Pedro Bay Airport                                                 ,US         ,Pedro Bay                                  ,PDB
small_airport ,Ouzinkie Airport                                                  ,US         ,Ouzinkie                                   ,KOZ
small_airport ,Tununak Airport                                                   ,US         ,Tununak                                    ,TNK
small_airport ,Minto Al Wright Airport                                           ,US         ,Minto                                      ,MNT
medium_airport,Aleknagik / New Airport                                           ,US         ,Aleknagik                                  ,WKK
small_airport ,Naknek Airport                                                    ,US         ,Naknek                                     ,NNK
small_airport ,Southern Seaplane Airport                                         ,US         ,Belle Chasse                               ,BCS
small_airport ,Earl Henry Airport                                                ,US         ,Blackwell                                  ,BWL
small_airport ,Center Island Airport                                             ,US         ,Center Island                              ,CWS
small_airport ,Tatitlek Airport                                                  ,US         ,Tatitlek                                   ,TEK
small_airport ,Pine Island Airport                                               ,US         ,Corolla                                    ,DUF
small_airport ,Stuart Island Airpark                                             ,US         ,Stuart Island                              ,SSW
small_airport ,Fort Bragg Airport                                                ,US         ,Fort Bragg                                 ,FOB
small_airport ,Maxson Airfield                                                   ,US         ,Alexandria Bay                             ,AXB
small_airport ,Reese Airpark                                                     ,US         ,Lubbock                                    ,REE
small_airport ,Waldron Airstrip                                                  ,US         ,East Sound                                 ,WDN
small_airport ,Chuathbaluk Airport                                               ,US         ,Chuathbaluk                                ,CHU
small_airport ,Ugashik Airport                                                   ,US         ,Ugashik                                    ,UGS
small_airport ,Marlboro Airport                                                  ,US         ,Marlboro                                   ,MXG
small_airport ,Levelock Airport                                                  ,US         ,Levelock                                   ,KLL
small_airport ,Tuntutuliak Airport                                               ,US         ,Tuntutuliak                                ,WTL
small_airport ,Twin Hills Airport                                                ,US         ,Twin Hills                                 ,TWA
small_airport ,Chignik Lake Airport                                              ,US         ,Chignik Lake                               ,KCQ
small_airport ,Adado Airport                                                     ,SO         ,Adado                                      ,AAD
small_airport ,Atkamba Airport                                                   ,PG         ,Atkamba Mission                            ,ABP
small_airport ,Andakombe Airport                                                 ,PG         ,Andekombe                                  ,ADC
small_airport ,El Daein Airport                                                  ,SD         ,El Daein                                   ,ADV
small_airport ,Aseki Airport                                                     ,PG         ,Aseki                                      ,AEK
small_airport ,Ar Horqin Airport                                                 ,CN         ,Chifeng                                    ,AEQ
small_airport ,OrÅ«zgÄn Airport                                                 ,AF         ,OrÅ«zgÄn                                  ,URZ
small_airport ,Salerno Airport                                                   ,AF         ,Khost                                      ,OLR
small_airport ,Afutara Aerodrome                                                 ,SB         ,Bila                                       ,AFT
small_airport ,Ulawa Airport                                                     ,SB         ,Arona                                      ,RNA
small_airport ,Uru Harbour Airport                                               ,SB         ,Atoifi                                     ,ATD
small_airport ,Barakoma Airport                                                  ,SB         ,Barakoma                                   ,VEV
small_airport ,Geva Airport                                                      ,SB         ,Liangia                                    ,GEF
small_airport ,Angoram Airport                                                   ,PG         ,Angoram                                    ,AGG
small_airport ,Gwaunaru'u Airport                                                ,SB         ,Auki                                       ,AKS
small_airport ,Bellona/Anua Airport                                              ,SB         ,Anua                                       ,BNY
small_airport ,Ballalae Airport                                                  ,SB         ,Ballalae                                   ,BAS
small_airport ,Fera/Maringe Airport                                              ,SB         ,Fera Island                                ,FRE
medium_airport,Honiara International Airport                                     ,SB         ,Honiara                                    ,HIR
small_airport ,Babanakira Airport                                                ,SB         ,Mbambanakira                               ,MBU
small_airport ,Ngorangora Airport                                                ,SB         ,Kirakira                                   ,IRA
small_airport ,Santa Cruz/Graciosa Bay/Luova Airport                             ,SB         ,Santa Cruz/Graciosa Bay/Luova              ,SCZ
small_airport ,Nusatupe Airport                                                  ,SB         ,Gizo                                       ,GZO
small_airport ,Mono Airport                                                      ,SB         ,Stirling Island                            ,MNY
small_airport ,Parasi Airport                                                    ,SB         ,Parasi                                     ,PRS
small_airport ,Rennell/Tingoa Airport                                            ,SB         ,Rennell Island                             ,RNL
small_airport ,Sege Airport                                                      ,SB         ,Sege                                       ,EGM
small_airport ,Santa Ana Airport                                                 ,SB         ,Santa Ana Island                           ,NNB
small_airport ,Marau Airport                                                     ,SB         ,Marau                                      ,RUS
small_airport ,Suavanao Airport                                                  ,SB         ,Suavanao                                   ,VAO
small_airport ,Yandina Airport                                                   ,SB         ,Yandina                                    ,XYA
small_airport ,Kagua Airport                                                     ,PG         ,Kagua                                      ,AGK
small_airport ,Kaghau Airport                                                    ,SB         ,Kagau Island                               ,KGE
small_airport ,Kukudu Airport                                                    ,SB         ,Kolombangara Island                        ,KUE
small_airport ,Kwailabesi Airport                                                ,SB         ,Kwailabesi                                 ,KWS
small_airport ,Nana Airport                                                      ,SB         ,Star Harbor                                ,NAZ
small_airport ,Ringi Cove Airport                                                ,SB         ,Ringi Cove                                 ,RIN
small_airport ,Ramata Airport                                                    ,SB         ,Ramata                                     ,RBV
small_airport ,Argyle Downs Airport                                              ,AU         ,Argyle Downs                               ,AGY
medium_airport,Hongyuan Airport                                                  ,CN         ,Aba                                        ,AHJ
small_airport ,Ambatolhy Airport                                                 ,MG         ,Ambatolahy                                 ,AHY
small_airport ,Aiome Airport                                                     ,PG         ,Aiome                                      ,AIE
small_airport ,Aiambak Airport                                                   ,PG         ,Aiambak                                    ,AIH
small_airport ,Ailinglaplap Airok Airport                                        ,MH         ,Bigatyelang Island                         ,AIC
small_airport ,Chena Hot Springs Airport                                         ,US         ,Chena Hot Springs                          ,CEX
small_airport ,Solomon State Field                                               ,US         ,Solomon                                    ,SOL
small_airport ,Herendeen Bay Airport                                             ,US         ,Herendeen Bay                              ,HED
small_airport ,Taylor Airport                                                    ,US         ,Taylor                                     ,TWE
small_airport ,Lonely Air Station                                                ,US         ,Lonely                                     ,LNI
small_airport ,Candle 2 Airport                                                  ,US         ,Candle                                     ,CDL
small_airport ,Bartletts Airport                                                 ,US         ,Egegik                                     ,BSZ
small_airport ,Boswell Bay Airport                                               ,US         ,Boswell Bay                                ,BSW
small_airport ,Zakuoma Airport                                                   ,TD         ,ZaKouma                                    ,AKM
small_airport ,Sharpe Field                                                      ,US         ,Tuskegee                                   ,TGE
small_airport ,Mar de CortÃ©s International Airport                              ,MX         ,Puerto PeÃ±asco                            ,PPE
